2022-04-12/23:07:08name 'schema_path' is not defined2022-04-12/23:07:52LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-12/23:10:51LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-22/18:28:14	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-22/18:34:26	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-22/18:34:59	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-22/18:42:54	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-22/19:00:42	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-22/19:03:47	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-22/19:06:30	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-22/19:07:05	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/12:21:30	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/12:22:46	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/12:32:14	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/12:32:48	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/12:41:05	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/12:42:42	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/12:43:31	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/12:54:30	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/12:55:38	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/13:03:40	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/13:04:20	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
2022-04-23/14:51:55	LengthOfDateStampInFile:: 8	 LengthOfTimeStampInFile:: 6	 NumberofColumns:: 52
